Battleground,Faction,Class,KB,D,HK,DD,HD,Win,Rol
Warsong gulch,Horde,Hunter,1,3,14,48155,6641,1,dps
Warsong gulch,Horde,Death Knight,1,3,12,27025,7106,1,dps
Warsong gulch,Alliance,Paladin,0,1,19,824,93879,0,heal
Warsong gulch,Alliance,Paladin,1,2,25,7046,98599,0,heal
Warsong gulch,Alliance,Rogue,2,3,23,65483,19629,0,dps
Warsong gulch,Horde,Druid,4,5,12,31759,6071,1,dps
Warsong gulch,Horde,Shaman,0,4,18,12933,94587,1,heal
Warsong gulch,Alliance,Priest,9,5,24,123000,34687,0,dps
Warsong gulch,Horde,Druid,2,1,9,13900,2438,1,dps
Warsong gulch,Alliance,Priest,0,1,25,12566,36734,0,heal
Warsong gulch,Alliance,Rogue,3,1,10,22327,2394,0,dps
Warsong gulch,Alliance,Demon Hunter,0,5,15,29664,4364,0,dps
Warsong gulch,Horde,Paladin,1,1,17,8529,193000,1,heal
Warsong gulch,Horde,Demon Hunter,3,4,18,125000,17460,1,dps
Warsong gulch,Alliance,Warlock,8,2,24,101000,21853,0,dps
Warsong gulch,Alliance,Warlock,5,3,25,124000,27687,0,dps
Warsong gulch,Alliance,Druid,0,0,17,6796,2738,0,dps
Warsong gulch,Horde,Demon Hunter,7,3,16,89349,14996,1,dps
Warsong gulch,Horde,Shaman,1,3,15,43666,17475,1,dps
Warsong gulch,Horde,Warrior,4,1,17,59125,13679,1,dps
Warsong gulch,Alliance,Priest,0,3,17,1632,45269,1,heal
Warsong gulch,Horde,Death Knight,1,2,19,15387,11309,0,dps
Warsong gulch,Alliance,Warrior,2,4,11,20530,1189,1,dps
Warsong gulch,Horde,Death Knight,3,1,21,29076,6734,0,dps
Warsong gulch,Horde,Demon Hunter,6,2,19,43667,6286,0,dps
Warsong gulch,Alliance,Warrior,3,3,16,20454,3284,1,dps
Warsong gulch,Horde,Druid,0,0,0,8162,780,0,dps
Warsong gulch,Alliance,Warlock,6,2,10,25818,11215,1,dps
Warsong gulch,Horde,Shaman,0,4,19,3445,43063,0,heal
Warsong gulch,Horde,Warrior,5,1,20,29930,5117,0,dps
Warsong gulch,Alliance,Death Knight,2,2,17,40511,5841,1,dps
Warsong gulch,Alliance,Monk,0,1,12,8949,15695,1,heal
Warsong gulch,Alliance,Monk,0,0,17,882,9598,1,heal
Warsong gulch,Alliance,Rogue,2,1,18,21731,5777,1,dps
Warsong gulch,Alliance,Demon Hunter,1,0,15,8126,537,1,dps
Warsong gulch,Alliance,Death Knight,3,2,15,41179,15379,1,dps
Warsong gulch,Horde,Demon Hunter,1,3,17,27526,2238,0,dps
Warsong gulch,Horde,Warlock,1,2,19,22769,8918,0,dps
Warsong gulch,Horde,Paladin,0,2,20,14602,6576,0,dps
Warsong gulch,Alliance,Rogue,2,1,28,26266,11364,1,dps
Warsong gulch,Alliance,Paladin,0,0,22,3350,11153,1,heal
Warsong gulch,Alliance,Priest,5,0,30,49500,14576,1,dps
Warsong gulch,Alliance,Druid,0,2,26,23312,12816,1,dps
Warsong gulch,Horde,Paladin,1,4,8,36211,11686,0,dps
Warsong gulch,Alliance,Hunter,8,0,32,89565,4557,1,dps
Warsong gulch,Horde,Druid,1,4,11,28304,9181,0,dps
Warsong gulch,Horde,Shaman,0,6,8,4663,75063,0,heal
Warsong gulch,Alliance,Shaman,7,2,29,70816,7654,1,dps
Warsong gulch,Horde,Druid,3,3,10,55534,11397,0,dps
Warsong gulch,Alliance,Hunter,3,1,30,45806,4899,1,dps
Warsong gulch,Horde,Priest,0,2,5,36350,12216,0,dps
Warsong gulch,Alliance,Priest,0,1,26,20105,157000,1,heal
Warsong gulch,Horde,Rogue,0,2,7,2978,2468,0,dps
Warsong gulch,Alliance,Demon Hunter,5,1,20,24629,6500,1,dps
Warsong gulch,Alliance,Hunter,2,4,22,28534,6625,1,dps
Warsong gulch,Horde,Demon Hunter,1,2,9,19531,2151,0,dps
Warsong gulch,Horde,Mage,1,3,11,76381,18538,0,dps
Warsong gulch,Horde,Demon Hunter,5,6,11,34667,5249,0,dps
Warsong gulch,Horde,Rogue,0,1,11,17990,3102,0,dps
Warsong gulch,Horde,Warlock,0,0,6,19587,0,0,dps
Warsong gulch,Alliance,Mage,0,2,11,29693,7320,1,dps
Warsong gulch,Horde,Warlock,0,0,9,16048,4390,0,dps
Warsong gulch,Alliance,Demon Hunter,2,1,13,14954,437,1,dps
Warsong gulch,Horde,Monk,2,2,11,34637,14788,0,dps
Warsong gulch,Horde,Shaman,0,2,11,2329,27087,0,heal
Warsong gulch,Alliance,Monk,0,0,11,4040,9774,1,heal
Warsong gulch,Alliance,Demon Hunter,0,1,13,8231,1217,1,dps
Warsong gulch,Horde,Priest,2,4,9,39208,9909,0,dps
Warsong gulch,Horde,Warrior,2,0,12,7322,4468,0,dps
Warsong gulch,Alliance,Priest,0,0,14,1672,38396,1,heal
Warsong gulch,Horde,Priest,3,1,10,22400,48896,0,heal
