Faction,Class,KB,D,HK,DD,HD,Rol
Horde,Hunter,1,3,14,48155,6641,dps
Horde,Death Knight,1,3,12,27025,7106,dps
Alliance,Paladin,0,1,19,824,93879,heal
Alliance,Paladin,1,2,25,7046,98599,heal
Alliance,Rogue,2,3,23,65483,19629,dps
Horde,Druid,4,5,12,31759,6071,dps
Horde,Shaman,0,4,18,12933,94587,heal
Alliance,Priest,9,5,24,123000,34687,dps
Horde,Druid,2,1,9,13900,2438,dps
Alliance,Priest,0,1,25,12566,36734,heal
Alliance,Rogue,3,1,10,22327,2394,dps
Alliance,Demon Hunter,0,5,15,29664,4364,dps
Horde,Paladin,1,1,17,8529,193000,heal
Horde,Demon Hunter,3,4,18,125000,17460,dps
Alliance,Warlock,8,2,24,101000,21853,dps
Alliance,Warlock,5,3,25,124000,27687,dps
Alliance,Druid,0,0,17,6796,2738,dps
Horde,Demon Hunter,7,3,16,89349,14996,dps
Horde,Shaman,1,3,15,43666,17475,dps
Horde,Warrior,4,1,17,59125,13679,dps
Alliance,Priest,0,3,17,1632,45269,heal
Horde,Death Knight,1,2,19,15387,11309,dps
Alliance,Warrior,2,4,11,20530,1189,dps
Horde,Death Knight,3,1,21,29076,6734,dps
Horde,Demon Hunter,6,2,19,43667,6286,dps
Alliance,Warrior,3,3,16,20454,3284,dps
Horde,Druid,0,0,0,8162,780,dps
Alliance,Warlock,6,2,10,25818,11215,dps
Horde,Shaman,0,4,19,3445,43063,heal
Horde,Warrior,5,1,20,29930,5117,dps
Alliance,Death Knight,2,2,17,40511,5841,dps
Alliance,Monk,0,1,12,8949,15695,heal
Alliance,Monk,0,0,17,882,9598,heal
Alliance,Rogue,2,1,18,21731,5777,dps
Alliance,Demon Hunter,1,0,15,8126,537,dps
Alliance,Death Knight,3,2,15,41179,15379,dps
Horde,Demon Hunter,1,3,17,27526,2238,dps
Horde,Warlock,1,2,19,22769,8918,dps
Horde,Paladin,0,2,20,14602,6576,dps
Alliance,Rogue,2,1,28,26266,11364,dps
Alliance,Paladin,0,0,22,3350,11153,heal
Alliance,Priest,5,0,30,49500,14576,dps
Alliance,Druid,0,2,26,23312,12816,dps
Horde,Paladin,1,4,8,36211,11686,dps
Alliance,Hunter,8,0,32,89565,4557,dps
Horde,Druid,1,4,11,28304,9181,dps
Horde,Shaman,0,6,8,4663,75063,heal
Alliance,Shaman,7,2,29,70816,7654,dps
Horde,Druid,3,3,10,55534,11397,dps
Alliance,Hunter,3,1,30,45806,4899,dps
Horde,Priest,0,2,5,36350,12216,dps
Alliance,Priest,0,1,26,20105,157000,heal
Horde,Rogue,0,2,7,2978,2468,dps
